PREFAB CONTAINER WHITE,,
PREFAB CONTAINER BROWN,,
PREFAB CONTAINER GRAY,,
,,
"PREFAB CONTAINER WHITE 3(L)*3(W)*2.8(H) m, 9 sqm",,
,,
,,
,,
,,
,,
,,
,,
,,
"PREFAB CONTAINER WHITE 5.95(L)*3(W)*2.8(H) m, 3.0(T) mm",,
,,
,,
,,
,,
PREFAB CONTAINER WHITE 5.95(L)*4(W)*2.8(H),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
PREFAB TOILET AND BATH,,
WALKWAY/RAILING/CANOPY,,
WALKWAY/RAILING,,
CANOPY,,
RAILING,,
,,
,,
STAIRS,,
CUSTOMIZED STAIR WITH DOUBLE LANDING,,
,,
DECKING,,
POST PROVISION FOR ROOF AT DECKED AREA,,
EXTRA WINDOW,,
WALL PANEL BOARD,,
,,
MGO BOARD,,
CONNECTING PLATE SET,,
,,
COLUMN GUTTER,,
CORNER LINE,,
,,
,,
REINFORCED FLOORING,,
GLASS WALL DOOR,,
,,
,,
,DOOR LOCKS (OLD),
AWNING WINDOW,DOOR LOCKS (NEW),
,,
,,
,,
SEAMLESS FLOORING,,
PREFAB UNIT INSTALLATION,,
STAIRS INSTALLATION,,
WALKWAY/RAILING/CANOPY INSTALLATION,,
RAILING INSTALLATION,,
TOILET AND BATH INSTALLATION,,
FOOTING LABOR,,
SEPTIC TANK LABOR,,
WALL PANEL INSTALLATION,,
EXTRA DOOR INSTALLATION,,
CUSTOMIZED DOOR,,
CUSTOMIZED JOINT COVER,,
EXTRA WINDOW INSTALLATION,,
GUTTER INSTALLATION,,
,,
GLASS INSTALLATION,,
,,
STANDARD FOOTING,,
CUSTOMIZED GLASS WORKS,,
CUSTOMIZED ROOFING WORKS,,
STANDARD TOILET AND BATH,,
CUSTOMIZED TOILET AND BATH,,
SEPTIC WORKS,,
,,
SECONDARY ROOFING WORKS,,
CLEAR TEMPERED GLASS,,
WATER HEATER,,
STANDARD FOOTING,,
,,
ELECTRICAL WORKS,,
PLUMBING WORKS,,
STEEL WORKS,,
MASONRY WORKS,,
INTERIOR WORKS,,
EXTERIOR WORKS,,
FIXTURE,,
CARPENTRY WORKS,,
PAINTING WORKS,,
CUSTOMIZED STAIRS,,
TILE WORKS,,
PREFAB DISCOUNT,,
CUSTOMIZED TOILET AND BATH,,
,,
,,
,,
OVERHEAD CONTINGENCY & MOBILIZATION,,
SUPPORT POST FOR WALKWAY,,
ANCHOR BOLT,,
ADDITIONAL ELECTRICAL WORKS,,
STAINLESS STEEL SINK,,
OVERHEAD CABINET,,
ELECTRICAL WORK PROVISION TO ACU,,
LAND PREPARATION ,,
EARTH WORKS,,
CONCRETE WORKS,,
CEILING WORKS,,
FINISHES,,
ACU,,
OCULAR INSPECTION,,
CLEARING,,
EMBANKMENT ,,
FOUNDATION WORKS,,
CUSTOMIZED STAIRS,,
GLASS WALL,,
,,
,,
,,
RAIN WATER TANK / CATCH BASIN,,
TECHNICAL DRAWING PLAN,,
,,
ACU BRACKET,,
ACU PROVISION,,
CUSTOMIZED DOOR FRAME,,
EXPANSION BOLT,,
PREFAB DISMANTLING ,,
EXTRA LED LIGHT,,
DOOR COVER,,
DOUBLE SWING STEEL DOOR,,
DEMOBILIZATION,,
HOLE PROVISION FOR ACU,,
DECORATIVE BOARD,,
SEPTIC WORK WITH PLUMBING WORKS,,
,,
,,
,,
,,
,,
POLYLITE COVER,,
LACQUER PAINT,,
SOFFIT CEILING WITH FRIEZE COVER,,
COLUMN,,
BOTTOM SHORT BEAM,,
BOTTOM LONG BEAM,,
TOP SHORT BEAM,,
TOP LONG BEAM,,
CONNECT (CASTING),,
TUBULAR,,
BOTTOM SQUARE TUBE,,
,,
BOTTOM SQUARE TUBE (SEAMLESS FLOORING),,
TOP SQUARE TUBE (T),,
TOP SQUARE TUBE,,
,,
ROOFING,,
CEILING,,
MGO FLOOR 2.8M,,
MGO FLOOR 3.0M,,
,,
WALL BOARD,,
DOOR & WINDOW BOARD,,
STEEL DOOR,,
DOOR FRAME TUBE,,
WINDOW,,
PRESSING PLATE GROOVE (GUTTER),,
,,
CORNER LINE CEILING,,
,,
CORNER LINE COLUMN,,
SUPPORT TUBE,,
THERMAL INSULATION COTTON,,
BOLTS AND SCREWS,,
SEALING STRIP,,
BOTTOM TUBE SCREW,,
CARRIAGE BOLTS,,
,,
FLOOR NAIL,,
SELF TAPPING NAIL,,
,,
SUPPORT TUBE BOLTS,,
BOLT AND NUT,,
DOOR LOCK,,
DOOR HOLE COVER,,
ELECTRICAL WIRE,,
,,
,,
,,
,,
,,
LED LIGHT,,
BREAKER,,
BREAKER COVER,,
SWITCH (1 GANG),,
SWITCH (2 GANG),,
SOCKETS W/ BACK COVER (1 GANG),,
SOCKETS W/ BACK COVER (2 GANG),,
ELECTRICAL TAPE,,
BLACK SCREWS
